企业名称,经营状态,信用代码,省份,城市,区域,城市基建,能源,交通,水利,工业服务,施工,设计/EPC,投资,其他,EPC,已清洗
爱尔眼科医院集团股份有限公司,存续,91430000745928604G,湖南省,长沙,天心,,,,,工业服务,,,,,,#N/A
爱威科技股份有限公司,存续,914301001838986849,湖南省,长沙,岳麓,,,,,工业服务,,,社投,,,#N/A
安化八方管道直饮水有限公司,存续,91430923MADK6Q3J7D,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化波涛装饰设计工程有限公司,存续,91430923MA4LFQ1373,湖南省,益阳,安化,传统施工,,,,,,设计,,,,#N/A
安化点正建筑工程有限公司,存续,91430923MACK7PLB71,湖南省,益阳,安化,,,,水利,,施工,,,,,#N/A
安化东能新能源有限公司,存续,91430923MABU7HRP5N,湖南省,长沙,天心,,电力,,,,,,社投,,,#N/A
安化广顺能源有限公司,存续,91430923MA4RU7TC40,湖南省,益阳,安化,城市供热,,,,,,,社投,,,#N/A
安化国艺园林有限公司,存续,91430923MA7ALALY2M,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化恒基环境治理有限公司,存续,91430923MA4M63J490,湖南省,益阳,安化,环境环保,,,,,,,社投,,,#N/A
安化汇一新能源有限公司,存续,91430923MADND6AF5P,湖南省,益阳,南县,,电力,,,,,,社投,,,#N/A
安化建瓴市政工程有限公司,存续,91430923MA4LPX4A7D,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化九源建筑有限公司,存续,914309231873602753,湖南省,益阳,安化,传统施工,,,,,施工,,,,,914309231873602753
安化蓝美环境科技有限公司,存续,91430923MAC6RFCK2C,湖南省,益阳,安化,环境环保,,,,,,,社投,,,#N/A
安化梅城供水有限公司,存续,9143092374060343X4,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化实景园林有限公司,存续,91430923MA4R2JQJ2J,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化县城乡供水有限公司,存续,91430923MA4LLLRD33,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化县城镇建设投资开发有限责任公司,存续,91430923753351606A,湖南省,益阳,安化,传统施工,,,,,,,公投,,,#N/A
安化县赐郎自来水供应有限公司,存续,91430923MA4PFC896Y,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化县第一建筑有限责任公司,存续,91430923187364073E,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化县东建建筑有限责任公司,存续,914309237431638391,湖南省,益阳,安化,传统施工,,,,,施工,,,,,914309237431638391
安化县方圆天下建筑有限责任公司,存续,91430923096425002F,湖南省,益阳,安化,传统施工,,,,,施工,,,,,91430923096425002F
安化县飞羽新能源有限公司,存续,91430923MADD2QK87F,湖南省,长沙,雨花,,电力,,,,,,社投,,,#N/A
安化县归溪污水处理有限公司,存续,91430923MA4QQ81X8D,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化县果硕园林绿化有限公司,存续,91430923MADKRNJE4R,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化县海川达水务有限公司,存续,914309236874443526,湖南省,益阳,安化,水务,,,,,,,社投,,,914309236874443526
安化县鸿天建筑工程有限公司,存续,91430923MA4R0KWY5N,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化县华厦建筑有限责任公司,存续,91430923730530708X,湖南省,益阳,安化,传统施工,,,,,施工,,,,,91430923730530708X
安化县华耀新能源科技有限公司,存续,91430923MAC3RK2G75,湖南省,衡阳,衡东,,电力,,,,,,社投,,,#N/A
安化县华宇新能源燃气开发有限公司,存续,91430923MA4L7MB28A,湖南省,岳阳,汨罗,城市燃气,,,,,,,社投,,,#N/A
安化县建筑工程公司,存续,914309231873652959,湖南省,益阳,安化,传统施工,,,,,施工,,,,,914309231873652959
安化县江南镇自来水有限公司,存续,91430923MA4L2EQ24E,湖南省,益阳,安化,供水(自来水）,,,,,,,社投,,,#N/A
安化县交通建设投资开发有限公司,存续,914309236962006838,湖南省,益阳,安化,,,交通综合,,,,,公投,,,#N/A
安化县金海湾水务有限公司,存续,91430923MA4PK9PC8N,湖南省,益阳,安化,水务,,,,,,,社投,,,#N/A
安化县金瑞达矿业有限公司,存续,91430923320602502A,湖南省,益阳,安化,,矿冶,,,,,,公投,,,#N/A
安化县景翘园林绿化工程有限公司,存续,91430923MA4T07E68K,湖南省,益阳,安化,传统施工,,,,,施工,,,,,#N/A
安化县绿水环境工程有限公司,存续,91430923MA4PC8KCXK,湖南省,益阳,安化,环境环保,,,,,施工,,,,,#N/A
安化县梅山城投集团有限公司,存续,91430923753370305E,湖南省,益阳,安化,传统施工,,,,,,,社投,,,91430923753370305E
安化县梅山河道清理有限公司,存续,91430923MA4QN08C2P,湖南省,益阳,安化,环境环保,,,,,,,社投,,,#N/A
